month,carrier,carrier_name,airport,airport_name
8,9E,Endeavor Air Inc.,PWM,"Portland, ME: Portland International Jetport"
8,9E,Endeavor Air Inc.,RAP,"Rapid City, SD: Rapid City Regional"
8,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
8,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International"
8,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional"
8,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International"
8,9E,Endeavor Air Inc.,RST,"Rochester, MN: Rochester International"
8,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International"
8,9E,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International"
8,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional"
8,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International"
8,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International"
8,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International"
8,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
8,9E,Endeavor Air Inc.,TVC,"Traverse City, MI: Cherry Capital"
8,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson"
8,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional"
8,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas National"
8,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport"
8,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International"
8,AA,American Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International"
8,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International"
8,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International"
8,AA,American Airlines Inc.,AVL,"Asheville, NC: Asheville Regional"
8,AA,American Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
8,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International"
8,AA,American Airlines Inc.,BFL,"Bakersfield, CA: Meadows Field"
8,AA,American Airlines Inc.,BGR,"Bangor, ME: Bangor International"
8,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
8,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International"
8,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal"
8,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International"
8,AA,American Airlines Inc.,BTV,"Burlington, VT: Burlington International"
8,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International"
8,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope"
8,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
8,AA,American Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International"
8,AA,American Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan"
8,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International"
8,AA,American Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
8,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International"
8,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International"
8,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International"
8,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
8,AA,American Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
8,AA,American Airlines Inc.,DAB,"Daytona Beach, FL: Daytona Beach International"
8,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National"
8,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International"
8,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
8,AA,American Airlines Inc.,DRO,"Durango, CO: Durango La Plata County"
8,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International"
8,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County"
8,AA,American Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International"
8,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional"
8,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International"
8,AA,American Airlines Inc.,EUG,"Eugene, OR: Mahlon Sweet Field"
8,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International"
8,AA,American Airlines Inc.,EYW,"Key West, FL: Key West International"
8,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International"
8,AA,American Airlines Inc.,FCA,"Kalispell, MT: Glacier Park International"
